"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "Vue", "CSS", "XML", "JSON with Comments", "Database", "comment", "blank", "total"
"d:\servidores\xampp\htdocs\SEA\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 53, 14, 84
"d:\servidores\xampp\htdocs\SEA\config\services.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"d:\servidores\xampp\htdocs\SEA\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 160, 35, 218
"d:\servidores\xampp\htdocs\SEA\database\factories\CondominioFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\DetalleNoAutorizadoFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\GaleriaIngresoFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\GaleriaViviendaFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\HabitanteFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\IngresoFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\PerfilFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\TipoDocumentoFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\TipoVisitaFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\TipoViviendaFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\UserFactory copy.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 73
"d:\servidores\xampp\htdocs\SEA\database\factories\UserFactory.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 73
"d:\servidores\xampp\htdocs\SEA\database\factories\VehiculoFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\VisitanteFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\factories\ViviendaFactory.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 24
"d:\servidores\xampp\htdocs\SEA\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 52
"d:\servidores\xampp\htdocs\SEA\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 36
"d:\servidores\xampp\htdocs\SEA\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 58
"d:\servidores\xampp\htdocs\SEA\database\migrations\2024_05_18_021946_create_tipo_documentos_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 29
